Time(HH:MM:SS:sss),CV1,CV2,CV3,CV4,CV5,CV6,CV7,CV8,CV9,CV10,CV11,CV12,CV13,CV14,CV15,CV16,Cell_Diff,Module_Voltage(V),Current(A),Capacity(AH),Temp1,Temp2,Temp3,Temp_Diff
2:5:29:6310,03.276200,3.275800,3.278100,3.276600,3.276200,3.275000,3.276400,3.276700,3.275000,3.275400,3.275600,3.273900,3.275100,3.274700,3.275700,3.275600,0.004200,52.419998,0.000000,0.000000,28.017365,27.998428,28.055115,0.056686
2:5:30:0490,03.192400,3.189900,3.195700,3.191600,3.191700,3.188600,3.192400,3.193100,3.190800,3.191800,3.192000,3.185700,3.190500,3.188600,3.190100,3.193100,0.010000,50.458000,-123.346001,-0.004000,28.022049,27.989014,28.055115,0.066101
2:5:30:2860,03.181500,3.179400,3.185600,3.181100,3.181100,3.177800,3.181800,3.182400,3.180100,3.181500,3.181800,3.174600,3.180400,3.178200,3.179600,3.182700,0.011000,50.370998,-194.001999,-0.014000,28.003159,27.993698,28.059814,0.066116
2:5:30:5240,03.176200,3.174600,3.181000,3.175600,3.176000,3.172800,3.177100,3.177400,3.174400,3.176200,3.176700,3.169100,3.175400,3.173000,3.174200,3.177600,0.011900,50.298000,-194.003006,-0.031000,28.022049,27.993698,28.059814,0.066116
2:5:30:7660,03.172000,3.170200,3.176800,3.170700,3.171500,3.168400,3.172500,3.173100,3.170000,3.171500,3.172400,3.164200,3.170800,3.168300,3.169800,3.173100,0.012600,50.219002,-194.003006,-0.041000,28.026764,27.998428,28.055115,0.056686
2:5:31:0140,03.167900,3.166200,3.173400,3.167100,3.167900,3.164700,3.169000,3.169600,3.166000,3.168200,3.168700,3.160800,3.167700,3.165200,3.166400,3.169800,0.012600,50.180000,-194.003006,-0.057000,28.017365,27.998428,28.064575,0.066147
2:5:31:2520,03.164800,3.163200,3.170700,3.163900,3.164900,3.161900,3.165900,3.167000,3.163400,3.165300,3.166000,3.157700,3.164800,3.161900,3.163600,3.166600,0.013000,50.125999,-194.003006,-0.068000,28.007889,28.003159,28.059814,0.056656
2:5:31:6180,03.161300,3.159500,3.166900,3.160100,3.161100,3.158000,3.162200,3.163200,3.159600,3.161300,3.162400,3.153500,3.161000,3.158300,3.159500,3.163000,0.013400,50.092999,-194.003006,-0.079000,28.017365,28.003159,28.074020,0.070862
2:5:31:8510,03.158800,3.157000,3.164600,3.157900,3.158900,3.155700,3.159900,3.160700,3.156900,3.158800,3.160100,3.151400,3.158600,3.155600,3.157300,3.160400,0.013200,50.062000,-194.003006,-0.095000,28.007889,27.998428,28.055115,0.056686
2:5:32:0900,03.157000,3.155500,3.163100,3.155800,3.156900,3.154000,3.158400,3.159000,3.155400,3.157300,3.158500,3.149300,3.157200,3.154400,3.155300,3.159200,0.013800,50.025002,-194.003998,-0.106000,28.012573,27.998428,28.059814,0.061386
2:5:32:3270,03.155300,3.153200,3.161100,3.154200,3.155100,3.152300,3.156300,3.157100,3.153600,3.155400,3.156600,3.147300,3.155100,3.152400,3.153600,3.156800,0.013800,50.000000,-194.003006,-0.117000,28.012573,27.993698,28.059814,0.066116
2:5:32:5320,03.154000,3.152300,3.160100,3.152600,3.153600,3.150500,3.154700,3.155700,3.152200,3.153800,3.155200,3.145800,3.153700,3.150600,3.152000,3.155600,0.014300,49.974998,-194.003998,-0.133000,28.022049,27.993698,28.059814,0.066116
2:5:32:7920,03.152400,3.150500,3.158600,3.151100,3.152400,3.149400,3.153800,3.154800,3.151000,3.152600,3.154000,3.144500,3.152500,3.149600,3.151100,3.154200,0.014100,49.957001,-194.003998,-0.144000,28.017365,27.993698,28.059814,0.066116
2:5:33:0640,03.150900,3.148800,3.157000,3.149600,3.150800,3.147900,3.152000,3.152800,3.149100,3.151100,3.152600,3.142800,3.151000,3.148200,3.149200,3.152800,0.014200,49.928001,-194.003006,-0.154000,28.017365,27.993698,28.059814,0.066116
2:5:33:2800,03.149400,3.147700,3.155900,3.148700,3.149600,3.146400,3.151000,3.151800,3.147900,3.150000,3.151400,3.141300,3.149700,3.146900,3.148200,3.151400,0.014600,49.905998,-194.003006,-0.171000,28.017365,28.003159,28.069290,0.066132
2:5:33:5460,03.149000,3.147200,3.155000,3.147700,3.148300,3.145600,3.149800,3.150700,3.146800,3.148600,3.150200,3.140800,3.148400,3.145600,3.146800,3.150200,0.014200,49.891998,-194.003006,-0.181000,28.007889,27.998428,28.055115,0.056686
2:5:33:8000,03.146400,3.145000,3.153200,3.145600,3.147000,3.144000,3.148200,3.149100,3.145300,3.147000,3.148700,3.138900,3.147200,3.144000,3.145300,3.148900,0.014300,49.873001,-194.003006,-0.198000,28.017365,27.993698,28.059814,0.066116
2:5:34:0630,03.146100,3.144400,3.152600,3.144600,3.146100,3.143100,3.147300,3.148100,3.144200,3.146200,3.147900,3.138000,3.146400,3.143400,3.144800,3.147900,0.014600,49.856998,-194.003006,-0.208000,28.017365,28.003159,28.059814,0.056656
2:5:34:3060,03.145000,3.143500,3.151400,3.143800,3.144900,3.142000,3.146200,3.147200,3.143400,3.145300,3.147000,3.137200,3.145100,3.142000,3.143600,3.146600,0.014200,49.839001,-194.003006,-0.225000,28.017365,28.003159,28.055115,0.051956
2:5:34:5470,03.144400,3.142400,3.150700,3.143000,3.144000,3.141100,3.145500,3.146200,3.142300,3.144300,3.145900,3.135800,3.144200,3.141400,3.142600,3.145800,0.014900,49.828999,-194.003006,-0.235000,28.017365,27.998428,28.055115,0.056686
2:5:34:7680,03.143300,3.141500,3.149600,3.142200,3.143300,3.140400,3.144800,3.145500,3.141600,3.143800,3.145200,3.135000,3.143700,3.140300,3.142200,3.145000,0.014600,49.817001,-194.003006,-0.251000,28.017365,27.989014,28.064575,0.075562
2:5:35:0210,03.142300,3.140200,3.149000,3.141200,3.142200,3.139600,3.143800,3.144700,3.140700,3.142600,3.144400,3.134600,3.142800,3.139700,3.141100,3.144500,0.014400,49.803001,-194.003006,-0.262000,28.012573,27.998428,28.069290,0.070862
2:5:35:2710,03.141300,3.139400,3.148200,3.140100,3.141600,3.138600,3.143000,3.144100,3.140100,3.142000,3.143600,3.133500,3.141700,3.138800,3.140200,3.143400,0.014700,49.793999,-194.003006,-0.278000,28.007889,27.993698,28.059814,0.066116
2:5:35:5120,03.140600,3.139300,3.147700,3.139800,3.141200,3.137800,3.142300,3.143300,3.139200,3.141300,3.142800,3.133000,3.141300,3.138600,3.139500,3.142800,0.014700,49.779999,-194.003006,-0.289000,28.017365,27.998428,28.064575,0.066147
2:5:35:7500,03.139900,3.138100,3.146400,3.138800,3.139800,3.136700,3.141300,3.142300,3.138200,3.140400,3.142000,3.132000,3.140400,3.137200,3.138700,3.142100,0.014400,49.770000,-194.003006,-0.305000,28.007889,27.998428,28.059814,0.061386
2:5:35:9920,03.139800,3.137800,3.145900,3.138300,3.139400,3.136400,3.140700,3.141900,3.137600,3.139800,3.141500,3.131200,3.139500,3.136600,3.138200,3.141200,0.014700,49.761002,-194.003006,-0.316000,28.007889,27.993698,28.059814,0.066116
2:5:36:2320,03.138600,3.137000,3.145300,3.137700,3.138500,3.135600,3.140100,3.141100,3.137000,3.139000,3.140700,3.130600,3.139100,3.135600,3.137600,3.140800,0.014700,49.747002,-194.003998,-0.327000,28.017365,27.998428,28.064575,0.066147
2:5:36:4880,03.138100,3.136200,3.144800,3.137200,3.138300,3.135300,3.139600,3.140700,3.136600,3.138800,3.140400,3.130300,3.138800,3.135400,3.136800,3.140200,0.014500,49.737999,-194.003998,-0.343000,28.017365,27.993698,28.059814,0.066116
2:5:36:7380,03.138000,3.135800,3.144400,3.136600,3.137800,3.134600,3.139100,3.139900,3.136000,3.138200,3.139800,3.129700,3.138000,3.134900,3.136400,3.139600,0.014700,49.727001,-194.003998,-0.354000,28.026764,27.998428,28.055115,0.056686
2:5:36:9570,03.137300,3.135700,3.144000,3.135900,3.136900,3.134000,3.138200,3.139300,3.135200,3.137300,3.139200,3.129200,3.137300,3.134100,3.135600,3.138800,0.014800,49.720001,-194.003998,-0.370000,28.012573,27.998428,28.064575,0.066147
2:5:37:2160,03.136600,3.134600,3.143100,3.135400,3.136400,3.133300,3.137900,3.138800,3.134800,3.136800,3.138700,3.128400,3.136800,3.133700,3.135300,3.138400,0.014700,49.712002,-194.003998,-0.381000,28.026764,27.998428,28.059814,0.061386
2:5:37:4670,03.136200,3.134500,3.142900,3.134900,3.135900,3.132800,3.137300,3.138400,3.134000,3.136400,3.138000,3.128000,3.136300,3.133200,3.134600,3.137800,0.014900,49.703999,-194.003998,-0.397000,28.026764,28.003159,28.074020,0.070862
2:5:37:7450,03.135000,3.133300,3.141800,3.134300,3.135400,3.132400,3.136600,3.137700,3.133800,3.135700,3.137500,3.127300,3.135600,3.132500,3.134000,3.137600,0.014500,49.695999,-194.003998,-0.408000,28.022049,27.998428,28.064575,0.066147
2:5:37:9930,03.134400,3.132400,3.141100,3.133600,3.135000,3.131800,3.136100,3.137100,3.133000,3.135100,3.137100,3.126700,3.135200,3.132000,3.133200,3.136700,0.014400,49.692001,-194.003998,-0.424000,28.012573,27.998428,28.064575,0.066147
2:5:38:2420,03.134400,3.132300,3.141000,3.133300,3.134400,3.131200,3.135600,3.136800,3.132700,3.134700,3.136200,3.126400,3.134600,3.131600,3.133200,3.136500,0.014600,49.683998,-194.003998,-0.440000,28.017365,27.993698,28.064575,0.070877
2:5:38:4800,03.134200,3.132400,3.140300,3.132700,3.133800,3.130700,3.135300,3.136300,3.132200,3.134100,3.135800,3.125900,3.134200,3.131000,3.132700,3.135800,0.014400,49.680000,-194.003006,-0.451000,28.022049,28.003159,28.074020,0.070862
2:5:38:7250,03.133600,3.131400,3.139900,3.132300,3.133400,3.130200,3.134800,3.135600,3.131600,3.133800,3.135600,3.125400,3.133600,3.130200,3.132100,3.135400,0.014500,49.671001,-194.003006,-0.462000,28.017365,27.998428,28.064575,0.066147
2:5:38:9590,03.133100,3.131200,3.139700,3.131800,3.133200,3.129700,3.134400,3.135200,3.131500,3.133400,3.135100,3.125200,3.133200,3.130400,3.131800,3.135200,0.014500,49.666000,-194.003006,-0.478000,28.017365,27.998428,28.064575,0.066147
2:5:39:1750,03.132700,3.130800,3.139200,3.131700,3.132900,3.129400,3.134000,3.135000,3.131000,3.132900,3.134700,3.124900,3.132800,3.129800,3.131300,3.134600,0.014300,49.660999,-194.003006,-0.489000,28.017365,27.993698,28.064575,0.070877
2:5:39:4370,03.132200,3.130200,3.139000,3.131100,3.132000,3.129000,3.133800,3.134800,3.130900,3.132500,3.134500,3.124200,3.132500,3.129600,3.131000,3.134000,0.014800,49.653999,-194.003006,-0.499000,28.017365,27.993698,28.055115,0.061417
2:5:39:6860,03.131400,3.130200,3.138600,3.130800,3.132200,3.128900,3.133400,3.134400,3.130600,3.132400,3.134200,3.124000,3.132400,3.129000,3.131000,3.134100,0.014600,49.651001,-194.003006,-0.516000,28.017365,28.007889,28.069290,0.061401
2:5:39:9210,03.131800,3.129900,3.138600,3.130400,3.131800,3.128600,3.133000,3.133700,3.129800,3.132000,3.134000,3.123400,3.131600,3.128600,3.130400,3.133600,0.015200,49.644001,-194.003006,-0.526000,28.017365,27.998428,28.055115,0.056686
2:5:40:9060,03.224400,3.224300,3.228900,3.224100,3.225000,3.224200,3.225800,3.226500,3.223000,3.224400,3.226200,3.221000,3.225200,3.223800,3.224600,3.224700,0.007900,51.599998,0.000000,0.000000,28.017365,28.003159,28.069290,0.066132
2:5:41:1100,03.224400,3.224300,3.228900,3.224100,3.225000,3.224200,3.225800,3.226500,3.223000,3.224400,3.226200,3.221000,3.225200,3.223800,3.224600,3.224700,0.007900,51.618999,0.000000,0.000000,28.017365,28.003159,28.069290,0.066132
2:5:41:3240,03.225500,3.225600,3.230600,3.225500,3.226600,3.225900,3.227600,3.228200,3.224800,3.226400,3.228000,3.222600,3.226900,3.225600,3.226400,3.226700,0.008000,51.641998,0.000000,0.000000,28.012573,27.998428,28.064575,0.066147
2:5:41:5410,03.225600,3.225800,3.231000,3.226200,3.227000,3.226600,3.228000,3.228400,3.225400,3.226600,3.228400,3.223500,3.227300,3.226100,3.227000,3.227100,0.007500,51.655998,0.000000,0.000000,28.022049,28.003159,28.074020,0.070862
2:5:41:7500,03.228000,3.227500,3.232000,3.227300,3.228300,3.227600,3.229100,3.229500,3.226500,3.227900,3.229500,3.224400,3.228200,3.227200,3.228200,3.228500,0.007600,51.667999,0.000000,0.000000,28.022049,27.998428,28.064575,0.066147
2:5:41:9860,03.227400,3.227800,3.232400,3.227800,3.228800,3.228200,3.229700,3.230300,3.227200,3.228500,3.230500,3.225400,3.229200,3.228300,3.228900,3.229200,0.007000,51.678001,0.000000,0.000000,28.022049,27.998428,28.069290,0.070862
2:5:42:1710,03.228400,3.228800,3.233700,3.229000,3.229900,3.228900,3.231000,3.231400,3.228000,3.229600,3.231100,3.226200,3.230000,3.229300,3.229700,3.229800,0.007500,51.688000,0.000000,0.000000,28.017365,28.003159,28.069290,0.066132
2:5:42:3720,03.230000,3.229500,3.234200,3.229700,3.230300,3.229800,3.231400,3.232000,3.228300,3.230000,3.231500,3.226500,3.230700,3.229400,3.230100,3.230400,0.007700,51.698002,0.000000,0.000000,28.012573,27.998428,28.074020,0.075592
2:5:42:5670,03.230200,3.229900,3.234200,3.230100,3.230700,3.230200,3.231600,3.232000,3.229100,3.230400,3.231900,3.227000,3.230900,3.229800,3.230600,3.231400,0.007200,51.708000,0.000000,0.000000,28.026764,28.003159,28.064575,0.061417
2:5:42:7630,03.231100,3.230700,3.235400,3.230700,3.231600,3.230800,3.232700,3.233300,3.229700,3.231400,3.233000,3.228400,3.231900,3.230600,3.231500,3.231800,0.007000,51.716000,0.000000,0.000000,28.017365,28.003159,28.064575,0.061417
2:5:42:9660,03.231300,3.230800,3.235700,3.231200,3.232100,3.231600,3.232800,3.233500,3.230400,3.231700,3.233300,3.228400,3.232200,3.231000,3.231600,3.232200,0.007300,51.723999,0.000000,0.000000,28.017365,28.003159,28.069290,0.066132
2:5:43:1480,03.231400,3.231000,3.235800,3.231400,3.232000,3.231400,3.233100,3.233700,3.230500,3.231900,3.233500,3.228900,3.232600,3.231600,3.232300,3.232500,0.006900,51.731998,0.000000,0.000000,28.022049,28.003159,28.059814,0.056656
2:5:43:3550,03.232600,3.232400,3.237000,3.232200,3.232800,3.232300,3.234000,3.234500,3.231500,3.232800,3.234100,3.229700,3.233400,3.232200,3.233000,3.233600,0.007300,51.740002,0.000000,0.000000,28.017365,27.998428,28.064575,0.066147
2:5:43:5670,03.232800,3.232800,3.237200,3.232900,3.233500,3.233000,3.234800,3.235000,3.231800,3.233400,3.234600,3.230400,3.233700,3.232700,3.233200,3.233700,0.006800,51.748001,0.000000,0.000000,28.017365,28.007889,28.069290,0.061401
2:5:43:7820,03.233100,3.233200,3.237400,3.233200,3.233800,3.233000,3.234600,3.235300,3.231800,3.233500,3.235100,3.230500,3.234200,3.232800,3.233800,3.234400,0.006900,51.755001,0.000000,0.000000,28.022049,28.007889,28.078720,0.070831
2:5:44:0130,03.233500,3.233400,3.238100,3.233800,3.234300,3.233700,3.235600,3.236000,3.232800,3.234100,3.235500,3.231200,3.234600,3.233400,3.234200,3.234700,0.006900,51.761002,0.000000,0.000000,28.026764,28.003159,28.074020,0.070862
2:5:44:2190,03.233900,3.233700,3.238500,3.233800,3.234800,3.234400,3.235800,3.236100,3.233000,3.234300,3.236100,3.231400,3.235000,3.234100,3.234900,3.235100,0.007100,51.766998,0.000000,0.000000,28.026764,28.007889,28.074020,0.066132
2:5:44:4130,03.234400,3.233900,3.238500,3.234200,3.235100,3.234800,3.236300,3.236800,3.233400,3.234800,3.236300,3.232000,3.235300,3.234200,3.235100,3.235300,0.006500,51.772999,0.000000,0.000000,28.022049,28.007889,28.074020,0.066132
2:5:44:6180,03.234900,3.234800,3.239100,3.234900,3.235800,3.235000,3.236600,3.237200,3.233800,3.235400,3.236600,3.232400,3.235900,3.235000,3.235400,3.235800,0.006700,51.778999,0.000000,0.000000,28.026764,28.012573,28.069290,0.056717
2:5:44:8090,03.235000,3.235100,3.239900,3.235600,3.236000,3.235300,3.237200,3.237600,3.234400,3.235800,3.237200,3.232500,3.236100,3.235200,3.235800,3.236400,0.007400,51.785000,0.000000,0.000000,28.022049,28.007889,28.069290,0.061401
2:5:45:0130,03.235500,3.235100,3.240000,3.235400,3.236100,3.235600,3.237300,3.237800,3.234400,3.236000,3.237400,3.233000,3.236600,3.235300,3.236200,3.236400,0.007000,51.790001,0.000000,0.000000,28.031479,28.007889,28.069290,0.061401
2:5:45:2490,03.235700,3.235600,3.240400,3.235800,3.236600,3.235600,3.237500,3.238000,3.234600,3.236300,3.237600,3.233400,3.236900,3.235800,3.236400,3.236700,0.007000,51.798000,0.000000,0.000000,28.022049,28.007889,28.074020,0.066132
2:5:45:4600,03.236500,3.236100,3.240500,3.236200,3.236800,3.236300,3.238200,3.238500,3.235200,3.236800,3.238200,3.233700,3.237300,3.236000,3.236900,3.237100,0.006800,51.803001,0.000000,0.000000,28.026764,28.007889,28.074020,0.066132
2:5:45:6670,03.237000,3.236400,3.241300,3.236600,3.237400,3.236900,3.238400,3.239100,3.235700,3.237200,3.238600,3.234200,3.237700,3.237200,3.237400,3.237800,0.007100,51.807999,0.000000,0.000000,28.031479,28.012573,28.074020,0.061447
2:5:45:8610,03.236900,3.236800,3.241300,3.237200,3.237800,3.237100,3.238600,3.239200,3.236000,3.237400,3.238600,3.234600,3.237700,3.237100,3.237500,3.238000,0.006700,51.813000,0.000000,0.000000,28.036240,28.007889,28.078720,0.070831
2:5:46:0610,03.237000,3.237300,3.241400,3.237200,3.238000,3.237300,3.239000,3.239800,3.236400,3.237800,3.239100,3.234800,3.238100,3.237200,3.237700,3.238200,0.006600,51.817001,0.000000,0.000000,28.022049,28.012573,28.083466,0.070892
2:5:46:2700,03.237100,3.236700,3.241400,3.237200,3.237900,3.237600,3.239200,3.239500,3.236300,3.237800,3.239100,3.235000,3.238400,3.237400,3.237900,3.238000,0.006400,51.821999,0.000000,0.000000,28.026764,28.007889,28.069290,0.061401
2:5:46:4640,03.238100,3.237600,3.242000,3.237700,3.238600,3.237900,3.239400,3.239800,3.236800,3.238200,3.239500,3.235200,3.238600,3.237800,3.238400,3.238400,0.006800,51.826000,0.000000,0.000000,28.026764,28.012573,28.078720,0.066147
2:5:46:6610,03.237600,3.237400,3.241900,3.238000,3.238600,3.237800,3.239400,3.240100,3.236800,3.238300,3.239400,3.235400,3.238600,3.237700,3.238300,3.238800,0.006500,51.830002,0.000000,0.000000,28.026764,28.017365,28.074020,0.056656
2:5:46:8710,03.238200,3.238200,3.242600,3.238300,3.239200,3.238700,3.240100,3.240400,3.237300,3.238800,3.240300,3.235800,3.239200,3.238500,3.239000,3.239100,0.006800,51.834999,0.000000,0.000000,28.031479,28.012573,28.064575,0.052002
2:5:47:0520,03.238400,3.238000,3.242900,3.238600,3.239300,3.238800,3.240500,3.241000,3.237600,3.239300,3.240600,3.236000,3.239600,3.238600,3.239400,3.239800,0.006900,51.839001,0.000000,0.000000,28.026764,28.007889,28.074020,0.066132
2:5:47:2570,03.238500,3.238400,3.242800,3.238800,3.239300,3.238900,3.240500,3.241100,3.237700,3.239200,3.240800,3.236000,3.239700,3.238500,3.239400,3.239600,0.006800,51.841999,0.000000,0.000000,28.026764,28.012573,28.074020,0.061447
2:5:47:4560,03.238800,3.238900,3.243200,3.239100,3.239600,3.239200,3.241000,3.241400,3.238000,3.239400,3.240700,3.236700,3.239600,3.238900,3.239600,3.239800,0.006500,51.846001,0.000000,0.000000,28.026764,28.012573,28.074020,0.061447
2:5:47:6930,03.238800,3.238900,3.243600,3.239200,3.240100,3.239400,3.241100,3.241500,3.238300,3.239800,3.241200,3.236900,3.240300,3.239000,3.239800,3.240000,0.006700,51.848999,0.000000,0.000000,28.031479,28.017365,28.074020,0.056656
2:5:47:8920,03.239700,3.239400,3.243700,3.239400,3.240500,3.239500,3.241100,3.241500,3.238600,3.240000,3.241100,3.237100,3.240200,3.239100,3.240000,3.240600,0.006600,51.853001,0.000000,0.000000,28.026764,28.003159,28.074020,0.070862
2:5:48:1150,03.239500,3.239400,3.243800,3.239600,3.240500,3.239900,3.241800,3.241800,3.238800,3.240200,3.241400,3.237200,3.240700,3.239700,3.240400,3.240500,0.006600,51.855999,0.000000,0.000000,28.031479,28.012573,28.074020,0.061447
2:5:48:3130,03.239800,3.239500,3.244100,3.239900,3.240500,3.240000,3.241900,3.242200,3.238800,3.240500,3.241600,3.237600,3.240800,3.239700,3.240600,3.241000,0.006500,51.860001,0.000000,0.000000,28.031479,28.012573,28.074020,0.061447
2:5:48:5150,03.239700,3.240000,3.244200,3.240200,3.240600,3.240000,3.241600,3.242200,3.239000,3.240500,3.241700,3.237600,3.240900,3.239600,3.240600,3.241100,0.006600,51.862999,0.000000,0.000000,28.036240,28.007889,28.074020,0.066132
2:5:48:6970,03.240800,3.240300,3.244300,3.240600,3.241200,3.240800,3.242200,3.242800,3.239600,3.240800,3.242200,3.238100,3.241600,3.240400,3.241200,3.241500,0.006200,51.867001,0.000000,0.000000,28.031479,28.017365,28.074020,0.056656
2:5:48:9020,03.241000,3.240800,3.245000,3.240800,3.241600,3.241000,3.242400,3.243000,3.239800,3.241300,3.242500,3.238300,3.241600,3.240600,3.241500,3.241900,0.006700,51.869999,0.000000,0.000000,28.036240,28.007889,28.074020,0.066132
2:5:49:1090,03.240700,3.240400,3.245100,3.241100,3.241900,3.240800,3.242600,3.243000,3.240000,3.241500,3.242900,3.238500,3.241600,3.240600,3.241500,3.241500,0.006600,51.874001,0.000000,0.000000,28.026764,28.017365,28.088165,0.070801
2:5:49:2980,03.241000,3.240700,3.245200,3.240800,3.241800,3.241400,3.242400,3.243100,3.239600,3.241500,3.242600,3.238700,3.241800,3.241200,3.241300,3.241700,0.006500,51.876999,0.000000,0.000000,28.026764,28.017365,28.078720,0.061356
2:5:49:5080,03.241200,3.241100,3.245800,3.241100,3.241700,3.241700,3.243100,3.243400,3.240400,3.241800,3.242800,3.238900,3.242000,3.241300,3.241800,3.242100,0.006900,51.880001,0.000000,0.000000,28.031479,28.012573,28.078720,0.066147
2:5:49:7240,03.242000,3.241200,3.246100,3.241800,3.242200,3.241800,3.243200,3.243900,3.240400,3.242200,3.243400,3.239100,3.242400,3.241500,3.242100,3.242600,0.007000,51.882999,0.000000,0.000000,28.040939,28.017365,28.083466,0.066101
2:5:49:9310,03.241400,3.241200,3.246100,3.242000,3.242400,3.241900,3.243400,3.243900,3.240800,3.242200,3.243200,3.239300,3.242800,3.241600,3.242200,3.242800,0.006800,51.886002,0.000000,0.000000,28.036240,28.017365,28.078720,0.061356
2:5:50:1570,03.242000,3.241800,3.246200,3.242300,3.242400,3.242200,3.243600,3.244100,3.240900,3.242300,3.243500,3.239600,3.242700,3.241800,3.242400,3.242400,0.006600,51.889999,0.000000,0.000000,28.036240,28.017365,28.083466,0.066101
2:5:50:3500,03.242200,3.241600,3.246200,3.241800,3.242600,3.241800,3.243600,3.244200,3.240900,3.242300,3.243600,3.239600,3.242900,3.241700,3.242200,3.243000,0.006600,51.893002,0.000000,0.000000,28.036240,28.012573,28.078720,0.066147
2:5:50:5610,03.241800,3.241700,3.246500,3.242200,3.242700,3.242500,3.243800,3.244300,3.241000,3.242600,3.243900,3.239700,3.242700,3.241800,3.242700,3.242900,0.006800,51.896000,0.000000,0.000000,28.031479,28.012573,28.078720,0.066147
2:5:50:7680,03.242500,3.242400,3.246500,3.242400,3.243300,3.242600,3.244200,3.244500,3.241600,3.242800,3.244100,3.240000,3.243500,3.242400,3.242900,3.243200,0.006500,51.898998,0.000000,0.000000,28.036240,28.017365,28.083466,0.066101
2:5:50:9520,03.242900,3.242800,3.247000,3.243000,3.243400,3.243000,3.244600,3.245000,3.241700,3.243200,3.244400,3.240300,3.243500,3.242900,3.243600,3.243800,0.006700,51.902000,0.000000,0.000000,28.036240,28.017365,28.083466,0.066101
2:5:51:1570,03.243200,3.242700,3.246900,3.242700,3.243500,3.242800,3.244400,3.245000,3.241600,3.243200,3.244400,3.240300,3.243600,3.242600,3.243400,3.243700,0.006600,51.903999,0.000000,0.000000,28.031479,28.017365,28.083466,0.066101
